 name:     zircon                                                 Feff 8.50L
 formula:  ZrSiO4
 sites:    Zr1,Si1,O1
 refer1:   wyckoff XII,157
 refer2:
 schoen:
 POT  SCF  30  4.4000   0, core-hole, AFOLP (folp(0)= 1.150)
 Abs   Z=14 Rmt= 0.991 Rnm= 1.189 K  shell
 Pot 1 Z=40 Rmt= 1.490 Rnm= 1.564
 Pot 2 Z=14 Rmt= 0.992 Rnm= 1.193
 Pot 3 Z= 8 Rmt= 0.932 Rnm= 1.037
 Gam_ch=4.153E-01 H-L exch
 Mu=-5.477E+00 kf=2.422E+00 Vint=-1.910E+01 Rs_int= 1.498
 PATH  Rmax= 4.400,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path   26      icalc       2
 -----------------------------------------------------------------------
   2   8.000   4.3724    2.2389   -5.47671 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
    -0.0000   -0.0000   -0.0000  0  14 Si       absorbing atom
  9.500  8.8489E+00  1.1320E-01 -2.5621E+01  9.828E-01  1.3553E+01  9.5740E+00
 10.000  8.7388E+00  9.9807E-02 -2.5781E+01  9.778E-01  1.4563E+01  1.0067E+01
 11.000  8.5221E+00  7.8020E-02 -2.6077E+01  9.713E-01  1.6696E+01  1.1055E+01
 12.000  8.2994E+00  6.4872E-02 -2.6349E+01  9.609E-01  1.8973E+01  1.2047E+01
 13.000  8.1108E+00  5.4334E-02 -2.6576E+01  9.507E-01  2.1388E+01  1.3040E+01
 14.000  7.9446E+00  4.4185E-02 -2.6775E+01  9.454E-01  2.3935E+01  1.4035E+01
 15.000  7.7811E+00  3.6880E-02 -2.6936E+01  9.430E-01  2.6611E+01  1.5030E+01
 16.000  7.6298E+00  3.1252E-02 -2.7013E+01  9.407E-01  2.9413E+01  1.6027E+01
 17.000  7.4988E+00  2.5754E-02 -2.7001E+01  9.396E-01  3.2336E+01  1.7024E+01
 18.000  7.3746E+00  2.2429E-02 -2.6922E+01  9.401E-01  3.5380E+01  1.8021E+01
 19.000  7.2545E+00  2.1406E-02 -2.6837E+01  9.406E-01  3.8541E+01  1.9019E+01
 20.000  7.1472E+00  2.0709E-02 -2.6777E+01  9.411E-01  4.1818E+01  2.0018E+01
